poviat,unemployment,age,feminization,services,retirees,soc_assistance,marriages,city,working_age,Duda_majority
aleksandrowski,12.2,42.1,106,36.71683843701342,18.43787455053935,525.6719977844768,0.1332037918134602,0,60.5,1
augustowski,9.7,41.7,104,20.894065987680673,17.83770751532686,342.9733548598195,0.13937108217951366,0,61.6,1
bartoszycki,17.3,41.8,105,29.56419316843345,17.212699411158287,827.2413503171358,0.14532333874997816,0,61.4,0
bełchatowski,4.9,40.4,104,24.49530210872601,15.518846593780758,407.26860754218427,0.1448851293237216,0,61.5,1
będziński,5.4,44.2,110,30.675332387582067,21.00426095118476,342.662344603583,0.12915206396153664,0,58.4,0
bialski,9.3,39.9,101,18.748763180957226,16.932076698082547,427.0092252554798,0.14594843462246776,0,60.9,1
Biała Podlaska,9.9,40.9,109,42.559355123118586,16.821759664159526,177.01121199930034,0.13526324995627076,0,60.6,1
białobrzeski,7.4,38.6,98,17.765069841567453,15.674947620472912,298.03430559712655,0.15797665369649805,0,60.6,1
białogardzki,17.0,41.0,104,31.85626102292769,16.856602186711523,434.2547386459209,0.1287636669470143,0,61.3,0
białostocki,7.6,40.8,103,18.27083445418841,16.53287525649852,454.63367085307897,0.12035879714726859,0,61.7,1
Białystok,5.4,41.1,113,48.91851851851852,17.800802543403886,401.1793832380005,0.12425307675245502,1,60.3,0
bielski,2.9,40.4,105,18.97999729082946,16.58110388045312,240.1543391178597,0.12680163894914437,0,60.4,1
bielski,4.7,44.0,102,18.121075106757097,21.52043125494453,380.9552245506228,0.14736997037881994,0,58.5,1
Bielsko-Biała,1.7,43.0,112,35.08443242304304,21.38893609042382,355.47370970860703,0.13721779178849547,1,57.1,0
bieruńsko-lędziński,1.7,40.1,103,14.766209779333138,14.84375,214.72268402034263,0.12980125802997858,0,62.1,1
bieszczadzki,13.5,41.2,103,29.674657534246574,16.215841949778433,741.9808779542097,0.19539327917282126,0,63.2,1
biłgorajski,5.0,41.1,103,15.451075462939082,17.926257691812246,336.86242937405245,0.14778188448161397,0,61.0,1
bocheński,2.6,38.3,102,21.284658624392094,15.282898800277003,310.63281551217506,0.1428437739804226,0,60.7,1
bolesławiecki,3.8,41.5,106,21.97866604149572,17.662009034105413,293.15305972054205,0.13365814678756535,0,60.7,0
braniewski,19.5,41.0,100,33.55780022446689,15.894136569673929,532.0358719598381,0.13844616659355657,0,63.1,0
brodnicki,7.0,38.7,102,17.929120409906062,15.100446287469815,332.50224774643794,0.14674387144898038,0,61.2,1
brzeski,4.7,39.1,101,20.488742250099705,15.554554135685239,255.93216306691988,0.14313151146446926,0,61.8,1
brzeski,7.8,41.8,105,30.877250054218173,18.081599928733688,370.0557598770656,0.1352501002182531,0,60.7,1
brzeziński,6.8,42.0,106,24.21816362271704,18.622904031394935,599.006326338663,0.09460642817760193,0,59.8,1
brzozowski,15.1,39.6,102,20.714045133041427,16.287156648924,375.3750592523678,0.15288178504430583,0,61.4,1
buski,3.7,43.4,105,20.194260186814674,20.45645008101011,412.806315995307,0.14161405665120957,0,59.5,1
bydgoski,4.1,39.5,102,19.92251223491028,13.7854621133608,340.92308763681405,0.11117009175703345,0,62.7,0
Bydgoszcz,2.9,43.5,113,43.62801928504609,21.745311467876736,314.31079238346877,0.13913093426003045,1,58.1,0
Bytom,8.4,43.5,110,47.83345190906935,20.239860101777168,462.0284557341934,0.1398074584147692,1,59.9,0
bytowski,9.1,38.2,101,23.144271031594975,14.536983257152958,284.8686739564131,0.14573600343443016,0,61.4,1
Chełm,11.0,44.0,113,45.69878242456326,20.180197636117033,242.69691468061745,0.14147774979009237,0,59.6,1
chełmiński,11.8,40.0,104,24.3070182829219,15.882522869523351,482.87652980259986,0.14135772749157438,0,61.6,0
chełmski,11.9,40.5,102,16.225981975854445,16.699566744430488,491.28064642243703,0.14026969518291588,0,61.9,1
chodzieski,7.2,40.4,104,21.11612759973355,16.584847518860908,345.54224418233986,0.13862501328232918,0,60.5,0
chojnicki,7.6,38.8,103,23.785959599689797,15.409903220851042,317.3468366019765,0.14327410517691638,0,60.1,1
Chorzów,3.3,42.6,110,48.97091797463271,19.905943027818232,515.6802029552812,0.13277430964594136,0,59.3,0
choszczeński,16.1,41.2,101,32.75227105327768,17.225296934270258,512.028399353274,0.13726343718259643,0,61.6,0
chrzanowski,6.3,43.2,107,28.794762159273116,19.515642063339115,411.8299282135286,0.13695638209031927,0,59.9,1
ciechanowski,8.9,41.2,103,28.657623000607412,17.17567068874898,421.79357536651645,0.14766894423134988,0,60.4,1
cieszyński,4.4,41.3,106,29.58953540820929,17.91055664988692,387.4713867142561,0.13348597852865746,0,59.4,0
czarnkowsko-trzcianecki,4.2,40.3,102,21.328598287027365,16.291527761811704,424.53836303023337,0.14248764225773078,0,60.8,0
Częstochowa,2.9,45.3,113,34.251954234073146,22.369155253523747,434.05614027845195,0.14433410605490105,1,57.5,0
częstochowski,6.2,42.5,104,17.59355947047529,18.067704656088587,315.5019202556576,0.1322804801010739,0,61.3,1
człuchowski,9.4,40.3,102,31.613766446145842,15.997147187304984,551.2640952126237,0.14533297673174644,0,60.9,0
Dąbrowa Górnicza,3.8,44.0,109,27.947547398332325,20.984644768917594,290.62605731614354,0.13909342983756795,0,58.1,0
dąbrowski,10.1,39.9,100,16.943762553001562,15.760300131814649,288.1048377665867,0.13499171933619494,0,63.4,1
dębicki,4.4,39.4,102,19.161119316917226,15.83455901373994,379.86409973466175,0.1447682540151812,0,61.8,1
drawski,11.6,41.2,104,27.496038034865293,17.26387792686135,443.8416322020521,0.13468385512584408,0,60.9,0
działdowski,13.6,39.8,103,26.193833139214124,15.534472435867913,382.8989559250219,0.15001765455410737,0,61.6,1
dzierżoniowski,5.2,44.0,110,30.022561237645036,20.78005812742404,413.14896987491693,0.12666025215002033,0,59.2,1
Elbląg,5.7,42.9,109,45.35124329253323,19.46998332173957,395.76939170445115,0.13928442719813605,0,59.6,0
elbląski,13.5,39.8,100,17.672113374119103,15.301253255492824,620.5976448585062,0.13086644176819143,0,62.1,1
ełcki,11.2,38.9,103,28.96840148698885,14.679991262560069,517.0490553735256,0.1241044124071647,0,62.0,1
garwoliński,8.4,38.0,101,19.978207922061273,15.447646837522138,164.55944540791515,0.1499343922335086,0,59.9,1
Gdańsk,2.4,41.7,111,48.08704216615063,20.469859229104685,288.58265502530224,0.13014459330610928,1,58.0,0
gdański,3.7,37.6,104,26.70420761778182,12.582602604461174,315.73613187722066,0.10472702107368617,0,61.8,0
Gdynia,2.1,43.5,112,42.1342995291058,22.096789906960886,350.7325923084417,0.13531670644778931,1,57.6,0
giżycki,8.9,41.8,105,32.356500691562935,17.311058074781226,463.88625510474674,0.15161318836736498,0,61.1,0
Gliwice,2.3,43.3,108,33.81268610861653,20.70681903439472,330.94947139745693,0.14166615342407463,1,58.5,0
gliwicki,3.5,41.9,106,23.90238704177323,17.40357315975348,316.81961905338966,0.13549096322969323,0,61.0,1
